wave,variable,mean,std,missing_%
K,mental_health_score,11.513192796314394,5.538308801618515,2.7
K,physical_health_score,49.83716802104373,10.397332868837974,3.6
K,anxiety_level,0.8333333333333334,0.38069349381344053,99.9
K,net_monthly_income,1695.3928285925413,1830.911666189427,0.0
K,hours_worked_weekly,32.40571534607534,10.935282843573397,51.2
K,age_years,51.27916874179382,17.620118085023392,0.0
L,mental_health_score,11.841176199474582,5.72299792535863,1.8
L,physical_health_score,49.70304472902747,10.635674531685835,2.4
L,anxiety_level,0.5,0.7071067811865476,100.0
L,net_monthly_income,1730.2863981401906,1942.802817527483,0.0
L,hours_worked_weekly,32.70819844842448,10.658182142002861,52.7
L,age_years,52.25018109380659,17.62250037732608,0.0
N,mental_health_score,11.696353273712988,5.712291038324046,2.3
N,physical_health_score,48.28916034795553,11.202300220324739,2.7
N,anxiety_level,1.915135727995613,0.2786859821480988,0.9
N,net_monthly_income,1943.5464722162817,2609.7238744434458,0.0
N,hours_worked_weekly,32.69196455242458,10.43520442970244,54.5
N,age_years,54.254798985874686,17.622680851563057,0.0
