term_pretty,coef,ci_lower,ci_upper,pval
Intercept,2.7974663523833354,0.9000277255206095,4.694904979246061,0.0038567110817050877
sex: male (vs female),-1.9147778511912272,-3.297531152729995,-0.5320245496524596,0.0066461196023847174
age: 25–34 (vs 18–24),1.8211435088833263,-0.8501112514578497,4.492398269224502,0.1814783969590248
age: 35–44 (vs 18–24),0.7118621156997517,-1.6622183820742036,3.0859426134737067,0.5567401794038769
age: 45–54 (vs 18–24),0.46467676076494346,-1.8703374454541644,2.799690966984051,0.6965067236597177
age: 55–64 (vs 18–24),1.3672962080577844,-1.2559566220524436,3.9905490381680124,0.30698176764086116
age: 65–74 (vs 18–24),0.10600972120110327,-1.9330475051957021,2.1450669475979085,0.9188378779205986
age: 75+ (vs 18–24),0.4622941057217522,-6.9457311353854445,7.870319346828949,0.9026530603822743
income: 2 (vs 1),-3.577484221978979e-15,-2.5472800684212632e-14,1.8317832240254676e-14,0.7487869538055412
income: 3 (vs 1),-1.330470006875185,-3.1488184640520474,0.48787845030167754,0.1515469018044599
income: 4 (vs 1),1.9907712598492246e-15,-1.0562324312044713e-14,1.4543866831743162e-14,0.7559322072394533
income: 5 (vs 1),-0.8023715325094771,-2.786187542981526,1.1814444779625717,0.4279384259671317
income: missing (vs 1),0.0,0.0,0.0,
PGSI (score),2.4548316278838045,-20.051919554751485,24.961582810519097,0.8307224921259289
PGSI (score):sex: male (vs female),-4.158663637959256,-30.91431567310198,22.596988397183466,0.7606406613697501
PGSI (score):income: 2 (vs 1),0.0,0.0,0.0,
PGSI (score):income: 3 (vs 1),6.6134952658430946,-36.06840041975564,49.295390951441824,0.7613614418329121
PGSI (score):income: 4 (vs 1),0.0,0.0,0.0,
PGSI (score):income: 5 (vs 1),1.6235150413928003,-28.921988962011593,32.169019044797196,0.917031690793528
PGSI (score):income: missing (vs 1),0.0,0.0,0.0,
